0.836,0.804,0.85,0.99,0.998,0.836,0.602,0.972,0.964,0.95,0.836,0.804,0.85,0.99,0.998,0.836,0.602,0.972,0.964,0.95,1,1,1,1,1,1,1,1,1,1,4.854,4.854,0.836,0.968,2.28,1.578,1.37,0.836,0.968,2.28,1.578,1.37,7.032,7.032
0.868,0.916,0.466,0.99,0.994,0.868,0.854,0.992,0.978,0.952,0.868,0.916,0.466,0.99,0.994,0.868,0.854,0.992,0.978,0.952,1,1,1,1,1,1,1,1,1,1,5.294,5.294,0.868,1.156,2.07,1.254,1.344,0.868,1.156,2.07,1.254,1.344,6.692,6.692
0.898,0.612,0.828,0.974,0.974,0.898,0.668,0.94,0.936,0.946,0.898,0.612,0.828,0.974,0.974,0.898,0.668,0.94,0.936,0.946,1,1,1,1,1,1,1,1,1,1,4.122,4.122,0.898,1.008,2.136,1.538,1.624,0.898,1.008,2.136,1.538,1.624,7.204,7.204
0.862,0.822,0.714,0.98,0.978,0.862,0.788,0.952,0.962,0.952,0.862,0.822,0.714,0.98,0.978,0.862,0.788,0.952,0.962,0.952,1,1,1,1,1,1,1,1,1,1,4.422,4.422,0.862,1.402,1.81,1.706,1.306,0.862,1.402,1.81,1.706,1.306,7.086,7.086
0.884,0.778,0.752,0.978,0.988,0.884,0.82,0.978,0.978,0.952,0.884,0.778,0.752,0.978,0.988,0.884,0.82,0.978,0.978,0.952,1,1,1,1,1,1,1,1,1,1,4.878,4.878,0.884,1.266,2.088,1.722,1.398,0.884,1.266,2.088,1.722,1.398,7.358,7.358
0.878,0.888,0.738,0.992,0.99,0.878,0.79,0.982,0.954,0.96,0.878,0.888,0.738,0.992,0.99,0.878,0.79,0.982,0.954,0.96,1,1,1,1,1,1,1,1,1,1,4.952,4.952,0.878,1.538,1.656,1.534,1.394,0.878,1.538,1.656,1.534,1.394,7,7
0.858,0.79,0.834,0.988,0.988,0.858,0.726,0.982,0.984,0.954,0.858,0.79,0.834,0.988,0.988,0.858,0.726,0.982,0.984,0.954,1,1,1,1,1,1,1,1,1,1,4.828,4.828,0.858,1.056,2.126,1.93,1.292,0.858,1.056,2.126,1.93,1.292,7.262,7.262
0.878,0.936,0.496,0.986,0.998,0.878,0.664,0.972,0.978,0.956,0.878,0.936,0.496,0.986,0.998,0.878,0.664,0.972,0.978,0.956,1,1,1,1,1,1,1,1,1,1,5.11,5.11,0.878,0.998,2.046,1.384,1.128,0.878,0.998,2.046,1.384,1.128,6.434,6.434
0.914,0.748,0.828,0.994,1,0.914,0.84,0.98,0.934,0.976,0.914,0.748,0.828,0.994,1,0.914,0.84,0.98,0.934,0.976,1,1,1,1,1,1,1,1,1,1,3.574,3.574,0.914,1.64,1.778,1.606,1.462,0.914,1.64,1.778,1.606,1.462,7.4,7.4
0.888,0.54,0.926,0.984,0.986,0.888,0.48,0.978,0.958,0.966,0.888,0.54,0.926,0.984,0.986,0.888,0.48,0.978,0.958,0.966,1,1,1,1,1,1,1,1,1,1,5.044,5.044,0.888,0.962,2.236,1.888,1.534,0.888,0.962,2.236,1.888,1.534,7.508,7.508
0.86,0.822,0.678,0.992,0.994,0.86,0.6,0.99,0.966,0.958,0.86,0.822,0.678,0.992,0.994,0.86,0.6,0.99,0.966,0.958,1,1,1,1,1,1,1,1,1,1,5.176,5.176,0.86,0.928,2.238,1.564,1.2,0.86,0.928,2.238,1.564,1.2,6.79,6.79
0.894,0.856,0.882,0.984,0.994,0.894,0.474,0.976,0.938,0.938,0.894,0.856,0.882,0.984,0.994,0.894,0.474,0.976,0.938,0.938,1,1,1,1,1,1,1,1,1,1,3.594,3.594,0.894,0.71,2.302,1.29,1.682,0.894,0.71,2.302,1.29,1.682,6.878,6.878
0.552,0.93,0.91,0.948,0.944,0.552,0.866,0.936,0.88,0.93,0.57143,0.78571,0.7381,0.95238,0.92857,0.57143,0.57143,0.83333,0.69048,0.80952,0.086957,0.070968,0.068132,0.084388,0.082627,0.086957,0.055427,0.074786,0.065909,0.073118,3.024,3.1667,0.552,1.922,1.934,1.814,2.004,0.57143,1.0714,1.6905,1.2381,1.5,8.226,6.0714
0.71,0.818,0.686,0.98,0.986,0.71,0.716,0.968,0.926,0.932,0.71,0.818,0.686,0.98,0.986,0.71,0.716,0.968,0.926,0.932,1,1,1,1,1,1,1,1,1,1,4.14,4.14,0.71,1.298,1.952,1.438,1.266,0.71,1.298,1.952,1.438,1.266,6.664,6.664
0.534,0.688,0.804,0.924,0.954,0.534,0.218,0.884,0.862,0.804,0.534,0.688,0.804,0.924,0.954,0.534,0.218,0.884,0.862,0.804,1,1,1,1,1,1,1,1,1,1,2.95,2.95,0.534,0.352,2.306,1.576,1.076,0.534,0.352,2.306,1.576,1.076,5.844,5.844
0.618,0.73,0.932,0.984,0.986,0.618,0.244,0.98,0.958,0.884,0.618,0.73,0.932,0.984,0.986,0.618,0.244,0.98,0.958,0.884,1,1,1,1,1,1,1,1,1,1,3.688,3.688,0.618,0.47,2.458,1.638,1.348,0.618,0.47,2.458,1.638,1.348,6.532,6.532
0.518,0.568,0.878,0.988,0.992,0.518,0.398,0.986,0.93,0.874,0.518,0.568,0.878,0.988,0.992,0.518,0.398,0.986,0.93,0.874,1,1,1,1,1,1,1,1,1,1,3.922,3.922,0.518,0.522,2.502,1.758,1.498,0.518,0.522,2.502,1.758,1.498,6.798,6.798
